id,flag_code,value_en,value_cy,category_id,MRD_Created_Time,MRD_Updated_Time,MRD_Deleted_Time
1,CF0001,Case,,0,07-04-2022 12:43:00,17-06-2022 13:33:00,
2,PF0001,Party,,0,07-04-2022 12:43:00,17-06-2022 13:33:00,
3,SM0001,Special measure,,2,07-04-2022 12:43:00,17-06-2022 13:33:00,
4,RA0001,Reasonable adjustment,,2,03-05-2022 14:33:00,17-06-2022 13:33:00,
5,RA0002,I need documents in an alternative format,,4,07-04-2022 12:43:00,17-06-2022 13:33:00,
6,RA0003,I need help with forms,,4,07-04-2022 12:43:00,17-06-2022 13:33:00,
7,RA0004,"I need adjustments to get to, into and around our buildings",,4,07-04-2022 12:43:00,17-06-2022 13:33:00,
8,RA0005,I need to bring support with me to a hearing,,4,07-04-2022 12:43:00,17-06-2022 13:33:00,
9,RA0006,I need something to feel comfortable during my hearing,,4,07-04-2022 12:43:00,17-06-2022 13:33:00,
10,RA0007,I need to request a certain type of hearing,,4,07-04-2022 12:43:00,17-06-2022 13:33:00,
11,RA0008,I need help communicating and understanding,,4,07-04-2022 12:43:00,17-06-2022 13:33:00,
12,RA0009,"I need an Hearing Enhancement System (Hearing/Induction Loop, Infrared Receiver)",,11,07-04-2022 12:43:00,17-06-2022 13:33:00,
13,RA0010,Documents in a specified colour,,5,07-04-2022 12:43:00,17-06-2022 13:33:00,
14,RA0011,Documents in easy read format,,5,07-04-2022 12:43:00,17-06-2022 13:33:00,
15,RA0012,Braille documents,,5,07-04-2022 12:43:00,17-06-2022 13:33:00,
16,RA0013,Documents in large print,,5,07-04-2022 12:43:00,17-06-2022 13:33:00,
17,RA0014,Audio translation of documents,,5,07-04-2022 12:43:00,17-06-2022 13:33:00,
18,RA0015,Documents read out to me,,5,07-04-2022 12:43:00,17-06-2022 13:33:00,
19,RA0016,Information emailed to me,,5,07-04-2022 12:43:00,17-06-2022 13:33:00,
20,RA0017,Guidance on how to complete forms,,6,07-04-2022 12:43:00,17-06-2022 13:33:00,
21,RA0018,Support filling in forms,,6,07-04-2022 12:43:00,17-06-2022 13:33:00,
22,RA0019,Step free / wheelchair access,,7,07-04-2022 12:43:00,17-06-2022 13:33:00,
23,RA0020,Use of venue wheelchair,,7,07-04-2022 12:43:00,17-06-2022 13:33:00,
24,RA0021,Parking space close to the venue,,7,07-04-2022 12:43:00,17-06-2022 13:33:00,
25,RA0022,Accessible toilet,,7,07-04-2022 12:43:00,17-06-2022 13:33:00,
